"job_name","job_salary","job_area","work_year","education","com_name","com_type","finance_stage","com_size","job_benefits"
"python（ai）","20k-40k","北京 东城区 东直门","经验不限","本科","客知音","计算机软件","A轮","20-99人"
"python工程师","15k-30k","北京 朝阳区 北苑","3-5年","本科","北京雷石","互联网","B轮","100-499人"
"python助教","4k-5k","北京 朝阳区 望京","应届生","本科","猿辅导","在线教育","D轮及以上","1000-9999人"
"Python工程师","15k-20k","北京 大兴区 亦庄","5-10年","本科","聚齐众兴网络","电子商务","未融资","20-99人"
"Python开发工程师","20k-35k","北京 海淀区 中关村","1-3年","本科","搜狐","移动互联网","已上市","10000人以上"
"Python Leader","18k-30k","北京 朝阳区 北苑","3-5年","本科","险峰华兴","移动互联网","不需要融资","20-99人"
"python开发工程师","20k-40k","北京 海淀区 苏州街","1-3年","本科","今日头条","移动互联网","D轮及以上","10000人以上"
"python爬虫工程师","15k-30k","北京 海淀区 知春路","3-5年","大专","神州优车集团","生活服务","已上市","10000人以上"
"python工程师","15k-30k","北京 朝阳区 酒仙桥","3-5年","本科","芸品绿","信息安全","天使轮","20-99人"
"python开发工程师","10k-20k","北京 海淀区 上地","1-3年","本科","亚信科技","计算机软件","不需要融资","10000人以上"
"python技术经理","30k-50k","北京 海淀区 中关村","5-10年","本科","好未来","互联网","已上市","10000人以上"
"python人工智能讲师","25k-40k","北京 昌平区 西三旗","3-5年","大专","传智播客","在线教育","已上市","1000-9999人"
"Python工程师","10k-15k","北京 海淀区 中关村","1-3年","本科","数据堂","互联网","B轮","100-499人"
"python服务器","18k-36k","北京 朝阳区 北苑","3-5年","本科","途游游戏","游戏","B轮","100-499人"
"Python工程师","25k-40k","北京 海淀区 五道口","3-5年","本科","学堂在线","互联网","B轮","100-499人"
"Python开发工程师","20k-40k","北京 海淀区 双榆树","1-3年","本科","北京字节跳动","移动互联网","D轮及以上","10000人以上"
"python工程师","8k-12k","北京 丰台区 花乡","1-3年","本科","中金标准数据","数据服务","B轮","20-99人"
"Python工程师","25k-35k","北京 朝阳区 太阳宫","1-3年","本科","老虎集团","互联网","C轮","100-499人"
"python研发工程师","8k-16k","北京 昌平区","1-3年","本科","贝瑞和康","医疗健康","已上市","1000-9999人"
"Python架构师","30k-50k","北京 海淀区 苏州街","5-10年","本科","北京天润融通","通信/网络设备","已上市","100-499人"
"Python实习生","4k-9k","北京 东城区 北新桥","经验不限","硕士","弘成教育","互联网","D轮及以上","1000-9999人"
"Python工程师","15k-30k","北京 海淀区 学院路","3-5年","本科","志翔科技","信息安全","B轮","100-499人"
"Python开发工程师","23k-45k","北京 海淀区 苏州街","3-5年","本科","LinkDoc","移动互联网","D轮及以上","1000-9999人"
"Python开发工程师","18k-28k","北京 海淀区 八里庄","5-10年","本科","物美集团","生活服务","已上市","10000人以上"
"python开发工程师","5k-10k","北京 朝阳区 奥运村","1-3年","本科","拓尔思","互联网","已上市","1000-9999人"
"Python开发","10k-15k","北京 海淀区 万柳","1-3年","本科","联想利泰","移动互联网","已上市","1000-9999人"
"高级Python后端工程师","26k-52k","北京 朝阳区 大屯","5-10年","本科","百乘金控","互联网金融","不需要融资","1000-9999人"
"Python开发工程师","15k-30k","北京 朝阳区 北苑","3-5年","本科","闲来游戏","游戏","不需要融资","1000-9999人"
"Python开发工程师","15k-25k","北京 海淀区 西北旺","1-3年","本科","四维智联","互联网","未融资","1000-9999人"
"python高级工程师","15k-25k","北京 朝阳区 望京","3-5年","本科","厨芯","智能硬件","B轮","100-499人"
"高级Python工程师","25k-50k","北京 朝阳区 酒仙桥","5-10年","本科","DNV音乐集团","音乐/视频/阅读","A轮","100-499人"
"Python开发工程师","15k-30k","北京 海淀区 马连洼","1-3年","本科","百度","互联网","已上市","10000人以上"
"python研发工程师","25k-40k","北京 大兴区 亦庄","5-10年","大专","新网","互联网","不需要融资","1000-9999人"
"Python（语音智能）","20k-40k","北京 东城区 东直门","1-3年","本科","客知音","计算机软件","A轮","20-99人"
"Python开发工程师","20k-30k","北京 海淀区 中关村","3-5年","本科","搜狐媒体","互联网","已上市","10000人以上"
"Python开发","8k-16k","北京 朝阳区 酒仙桥","3-5年","本科","绛门科技","计算机软件","已上市","500-999人"
"Python开发工程师","8k-15k","北京 海淀区","1-3年","本科","中软国际","计算机软件","已上市","10000人以上"
"Python开发工程师","20k-40k","北京 海淀区 马连洼","5-10年","本科","网易乐得","互联网","不需要融资","10000人以上"
"Python软件工程师","20k-40k","北京 西城区 南礼士路","3-5年","本科","网联","互联网金融","不需要融资","100-499人"
"Python开发工程师","4k-6k","北京 海淀区 中关村","应届生","本科","旷视科技","移动互联网","C轮","1000-9999人"
"Python开发","18k-28k","北京 朝阳区 三元桥","3-5年","本科","赤子城","互联网","D轮及以上","100-499人"
"Python 爬虫开发","10k-20k","北京 朝阳区 望京","1-3年","本科","兆百特","电子商务","A轮","20-99人"
"Python开发工程师","15k-28k","北京 海淀区 西北旺","3-5年","本科","一号车网","互联网","已上市","1000-9999人"
"python研发工程师","12k-24k","北京 朝阳区 朝外","1-3年","本科","Suning","批发/零售","已上市","10000人以上"
"Python工程师","5k-10k","北京 朝阳区 三元桥","1-3年","本科","Pocoweb","数据服务","不需要融资","20-99人"
"Python研发工程师","25k-40k","北京","3-5年","本科","学科网","互联网","B轮","500-999人"
"python研发工程师","20k-25k","北京 朝阳区 望京","5-10年","本科","直真科技","计算机软件","未融资","500-999人"
"python高级后端工程师","25k-50k","北京 海淀区 中关村","3-5年","本科","旷视科技","移动互联网","C轮","1000-9999人"
"Python开发工程师","12k-24k","北京 海淀区 四季青","3-5年","本科","安天","信息安全","不需要融资","500-999人"
"高级python开发","25k-30k","北京 石景山区 老山","3-5年","硕士","北京易盟天地","O2O","D轮及以上","500-999人"
"Python开发工程师","20k-30k","北京","3-5年","大专","马上消费金融","互联网金融","不需要融资","1000-9999人"
"Python研发工程师","27k-50k","北京 海淀区 五道口","1-3年","硕士","魔门塔科技","计算机软件","B轮","500-999人"
"Python研发工程师","20k-40k","北京","5-10年","本科","学科网","互联网","B轮","500-999人"
"Python 算法工程师","18k-36k","北京 朝阳区 团结湖","1-3年","本科","闪银奇异","移动互联网","D轮及以上","1000-9999人"
"Python开发工程师","20k-30k","北京 西城区 新街口","5-10年","本科","盛安德","计算机软件","未融资","500-999人"
"Python开发工程师","20k-40k","北京 海淀区 马连洼","5-10年","本科","百度","互联网","已上市","10000人以上"
"Python爬虫工程师","12k-17k","北京 朝阳区 十里堡","3-5年","本科","奥美地亚","广告营销","未融资","100-499人"
